企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
上海城开(集团)无锡置业有限公司,江苏,无锡市,91320211672514581G,周燕,有限责任公司（法人独资）,2008-02-28,90000万人民币元,无锡市滨湖区隐秀路800号18楼,wx.kongy@siud.com,"房地产开发经营;酒店管理服务;物业管理;房屋租赁服务;会议及展览服务;停车场管理服务;棋牌服务;健身服务;婚庆礼仪服务;洗衣服务;票务代理服务(不含铁路客票);针纺织品、服装、鞋帽、家庭用品、皮革制品、首饰、工艺品、收藏品(不含文物)的销售。...(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85953333,
绿地地产集团无锡置业有限公司,江苏,无锡市,91320206774685699G,顾霞芳,有限责任公司,2005-05-20,29000万人民币元,无锡惠山经济开发区政和大道,83599455@lvdiwuxi.com,"房地产开发、经营;房地产咨询服务;房地产中介服务;自有房屋租赁;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.greenlandsc.com/,0510-83599455,0510-83588358；0510-83595168；
无锡禾旭置业有限公司,江苏,无锡市,913202117244294786,夏静,有限责任公司,2000-12-08,13000万人民币元,无锡市滨湖区苏锡路207号,,"房地产开发、经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83333781,0510-85401999；
无锡金泰置业投资集团有限公司,江苏,无锡市,9132021176589179XF,吴学程,有限责任公司,2004-10-15,3850万人民币元,无锡市高浪东路508,737492245@163.com,"房地产的开发经营(凭有效资质证书经营);房屋租赁服务;水电费代缴服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85629107,
无锡汇金置业有限公司,江苏,无锡市, ,曾整,有限责任公司(台港澳与境内合资),1993-03-04,1050.256632万美元,江苏省无锡市中山南路东侧 7号地块,,从事汇金大厦房地产开发和经营管理。(涉及行政许可的凭有效许可证明经营),,0510-82793832,
无锡润泽置业集团有限公司,江苏,无锡市,913202116739013212,华红,有限责任公司,2008-03-24,22000万人民币元,无锡市十八湾路288号湖景科技园7号、8号楼,huasha@126.com,"房地产开发、销售;管道和设备安装;房屋租赁;利用自有资金对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81190881,
无锡云厦置业有限公司,江苏,无锡市,913202055753503788,郑奎,有限责任公司（法人独资）,2011-05-13,56000万人民币元,无锡市锡山区东北塘锦旺路,wuxiyunshacy@163.com,"房地产开发、经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88259652,0510-88223932；
无锡中南置业投资有限公司,江苏,无锡市,91320214768293891B,舒策丸,有限责任公司（法人独资）,2004-12-24,10000万人民币元,无锡市新吴区金城东路301-101,gujing@hkwzig.com,"房地产开发;房地产投资、营销策划、销售代理、房屋租赁代理;自有房屋的租赁、经济与商务咨询服务(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.hkwzig.com,0510-88231772,0510-88231702；0510-88231773；
无锡亿丰置业有限公司,江苏,无锡市,91320206583736254E,顾国华,有限责任公司,2011-10-12,16000万人民币元,无锡市惠山区洛社镇人民南路40号,912350105@qq.com,"房地产开发经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83325611,0510-83325023；
无锡博大置业有限公司,江苏,无锡市,9132021156026256XU,张秀琴,有限责任公司（法人独资）,2010-08-06,16000万人民币元,无锡市滨湖区太湖街道锡南路216-3号6楼,Bdzy2011@163.com,"房地产开发、经营(凭有效资质证书经营);物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85072323,
无锡红豆置业有限公司,江苏,无锡市,91320205736545847L,戴敏君,有限责任公司,2002-04-03,50000万人民币元,无锡市锡山区东港镇港下兴港路,1015389946@qq.com,"按壹级标准从事房地产开发经营(凭有效的资质证书经营);装饰装潢服务(不含资质),自有房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",wxhdzy.com,0510-66868792,
无锡茂业置业有限公司,江苏,无锡市,91320200789914212G,HUANG JING ZHANG (张静),有限责任公司,2006-07-13,28400万人民币元,无锡市南长区清扬路138号,yangyy1@maoye.cn,按贰级资质从事房地产开发经营;物业管理(凭有效资质证书经营);停车场服务;酒店提供管理服务;对酒店行业进行投资;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外);房屋租赁服务;会议及展览服务;贸易咨询服务。以下限分支机构经营:预包装食品、书报刊、电子出版物、药品、音像制品的...,http://www.maoye.cn,0510-85763083,0510-85762903；0510-85763013；0510-85763102；
无锡中德置业有限公司,江苏,无锡市,913202006689596767,葛渭清,有限责任公司（法人独资）,2007-11-07,38000万人民币元,无锡市中山路328号,xz@cgig.cn,"房地产开发、经营(凭资质证书经营);装饰装潢服务(不含资质);房产信息咨询及经纪服务;建筑用材料、五金交电、金属材料、水暖器材的销售;自有房屋的租赁;物业管理(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82703058,0510-82701068；0510-82703628；
无锡市鸿威置业有限公司,江苏,无锡市,91320205673937850B,惠小惠,有限责任公司（法人独资）,2008-04-02,10000万人民币元,无锡市锡山区锡北镇新坝村村民委员会一层,674996218@qq.com,"房地产开发经营(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.homewaychina.com,0510-88220580,0510-88220581；
无锡天盛置业有限公司,江苏,无锡市,91320206675470756J,苗忠,有限责任公司,2008-05-15,20000万人民币元,无锡市惠山区钱桥钱威路33号,admin@wxtiansheng.com,"房地产开发、经营。自有房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",http://www.renhebusiness.com,0510-82831660,
无锡苏源置业有限公司,江苏,无锡市,91320206747322307G,田丰,有限责任公司,2003-02-28,30000万人民币元,无锡市惠山区堰桥街道西漳天一新街1号,wuxiss100@ss100.com.cn,"房地产开发、经营;房屋租赁、修缮、装饰装璜;装饰材料、水暖器材销售;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.ss100.com.cn/ss100/,0510-66075051,
无锡汇鑫置业有限公司,江苏,无锡市,,胡根龙,有限责任公司（法人独资）,2007-12-14,27900万人民币元,无锡市滨湖区锦溪路100号,553928190@qq.com,许可经营项目:房地产开发、经营(凭有效资质证书经营)。一般经营项目:无,,15371080910,
无锡市中山置业投资集团有限公司,江苏,无锡市,91320200770506745U,王云泓,有限责任公司,2005-01-20,3000万人民币元,无锡市解放北路21-12A,wxefw@163.com,"房地产开发经营(凭有效资质证书经营);物业管理(凭有效资质证书经营);自有资产的对外投资;房地产营销策划、房地产信息咨询、房地产经纪、经济信息咨询的服务;装饰装潢服务(不含资质);企业形象策划与推广。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.efw.cn,0510-82720393,0510-82750793；
无锡远东置业有限公司,江苏,无锡市,91320282714934542F,陈中原,有限责任公司,2000-01-06,59912万人民币元,宜兴市高塍镇远东路8号,tt97200@163.com,"按贰级标准从事房地产开发经营业务;房屋租赁服务;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.ydzy.com.cn/,0510-81770394,0510-87249686；
无锡景瑞置业有限公司,江苏,无锡市,9132020509153738X5,郝煜,有限责任公司(台港澳法人独资),2014-02-20,7400万美元,无锡市锡山区安镇街道兴越路南、锡东大道西,lixue@jingruis.com,从事无锡市XDG-2013-51号地块的房地产开发、经营及物业管理(不含国家限制、禁止类项目)。,,0512-66173188,0510-88829808；0519-83811626；
无锡经发置业有限公司,江苏,无锡市,91320214683529922K,史勇敢,有限责任公司（法人独资）,2008-12-16,8000万人民币元,无锡市新吴区江溪街道新光路555号,,房地产开发与经营(凭有效资质证书经营);建筑工程施工;工程承包;项目投资;黄金饰品、珠宝首饰、五金交电、日用杂货(不含烟花爆竹)、针纺织品、服装、鞋帽、皮革制品、摄影器材、钟表、办公自动化设备、电子产品、通讯及广播电视设备(不含发射装置及卫星广播地面接收设施)、工艺品、玩具、建筑材料、装饰装潢材料、计算机及...,http://www.shincity.cn/,0510-68750998,0510-68750996；0510-68750980；
